Adams,16785
Allen,67697
Ashland,35181
Ashtabula,60131
Athens,43266
Auglaize,31421
Belmont,46731
Brown,28038
Butler,244275
Carroll,17868
Champaign,25521
Clark,87871
Clermont,134623
Clinton,26015
Columbiana,64991
Coshocton,22740
Crawford,27880
Cuyahoga,876013
Darke,33737
Defiance,25347
Delaware,131534
Erie,52568
Fairfield,98863
Fayette,16076
Franklin,825840
Fulton,28755
Gallia,18595
Geauga,64353
Greene,1112584
Guernsey,23904
Hamilton,571774
Hancock,49862
Hardin,17929
Harrison,10008
Henry,19156
Highland,27285
Hocking,18283
Holmes,17733
Huron,35318
Jackson,21121
Jefferson,47049
Knox,40125
Lake,153301
Lawrence,43620
Licking,115508
Logan,30484
Lorain,203622
Lucas,296265
Madison,23783
Mahoning,164550
Marion,39250
Medina,119549
Meigs,15003
Mercer,28646
Miami,71401
Monroe,9603
Montgomery,367848
Morgan,8906
Morrow,24638
Muskingum,53486
Noble,8075
Ottawa,29372
Paulding,12643
Perry,21802
Pickaway,33585
Pike,18010
Portage,104904
Preble,27399
Putnam,23404
Richland,81451
Ross,43517
Sandusky,39259
Scioto,45853
Seneca,34034
Shelby,33893
Stark,247534
Summit,355094
Trumbull,138684
Tuscarawas,57819
Union,35762
Vanwert,19464
Vinton,8289
Warren,150841
Washington,41863
Wayne,73948
Williams,24560
Wood,92885
Wyandot,15534
